EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,19,Food/Non-food contact surfaces of equip/utensils clean,No,Non-food contact surfaces have accumulation of soil. (gaskets)  ,605,12
104156,2018/01/11 05:00:00+00,1350789,FOOD SERVICE,YUM 313 FOOD PORTABLE,1,ARENA PLAZA,LOUISVILLE,KY,40202,REGULAR,91,28,"INSECTS/RODENTS-NO BIRDS, TURTLES, OTHER ANIMALS",Yes,Presence of insects.  ,605,13
101210,2017/09/28 04:00:00+00,1330145,FOOD SERVICE,EAGLE FOOD & BEER HALL,1314,BARDSTOWN RD,LOUISVILLE,KY,40204,REGULAR,84,19,Food/Non-food contact surfaces of equip/utensils clean,No,BAR COOLER NOT CLEAN.- BEER COOLER,605,14
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,20,"Storage, handling of clean equipment/utensils/single service articles",No,Improper display/storage of single service items. (stored on floor)  ,605,15
104156,2018/01/11 05:00:00+00,1350789,FOOD SERVICE,YUM 313 FOOD PORTABLE,1,ARENA PLAZA,LOUISVILLE,KY,40202,REGULAR,91,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items not properly stored.  ,605,16
101210,2017/09/28 04:00:00+00,1330145,FOOD SERVICE,EAGLE FOOD & BEER HALL,1314,BARDSTOWN RD,LOUISVILLE,KY,40204,REGULAR,84,20,"Storage, handling of clean equipment/utensils/single service articles",No,IMPROPER STORAGE OF SINGLE SERVICE ITEMS,605,17
76227,2018/03/30 04:00:00+00,1368843,FOOD SERVICE,AFC SUSHI @ KROGER #743,12611,TAYLORSVILLE RD,LOUISVILLE,KY,40299,REGULAR,93,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service.  Potentially hazardous food not maintained at 135 degrees Fahrenheit or higher at all times except during necessary periods of preparation and service.  (Brown Rice),605,18
72626,2017/10/31 04:00:00+00,1333348,FOOD SERVICE,SUNERGOS COFFEE,2122,S PRESTON ST,LOUISVILLE,KY,40217,REGULAR,84,29,Outer openings protected,No,Outer openings not protected against the entry of pests. (back doors)  ,605,19
88054,2018/04/13 04:00:00+00,1371664,FOOD SERVICE,DAIRY QUEEN,5608,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,76,30,"Floors constructed, drained, clean, good repair, covering installation, easily cleanable",No,Floors not clean.  ,605,20
32578,2017/11/28 05:00:00+00,1339909,FOOD SERVICE,WHITE CASTLE #19,7400,DIXIE HWY,LOUISVILLE,KY,40258,REGULAR,77,18,"Wiping cloths clean, use restricted",No,SANITIZER NOT AT PROPER STRENGTH    ,605,21
104229,2018/02/20 05:00:00+00,1359569,FOOD SERVICE,HARRODS CREEK TAVERN,6313,RIVER RD,PROSPECT,KY,40059,REGULAR,88,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food not maintained at 135 degrees Fahrenheit or higher at all times except during necessary periods of preparation and service. (Chili, bean soup and green beans)   ",605,22
104229,2018/02/20 05:00:00+00,1359569,FOOD SERVICE,HARRODS CREEK TAVERN,6313,RIVER RD,PROSPECT,KY,40059,REGULAR,88,22,SEWAGE AND WASTE DISPOSAL.,Yes,Leak in plumbing waste pipe. (Three-compartment sink) (Corrected)   ,605,23
103940,2018/01/11 05:00:00+00,1350734,FOOD SERVICE,ROOF TOP GRILL,414,W OAK ST,LOUISVILLE,KY,40203,REGULAR,82,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,"Hands not washed to prevent contamination from previous task.  Employee not washing hands when putting on new gloves  (did not see kitchen employee wash hands/ change gloves during my time of inspection, switched from multiple tasks back to food preperation; corrected)    Personal drinks on food prep table  (all drinks should be stored down and away from food, drinks should have a lid and straw and hands should be washed promptly after food/drink or when going back to work; corrected immediately)    ",605,24
103940,2018/01/11 05:00:00+00,1350734,FOOD SERVICE,ROOF TOP GRILL,414,W OAK ST,LOUISVILLE,KY,40203,REGULAR,82,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,"Not clearly marked to indicate the date or day by which food shall be consumed, sold or discarded on the premises.  (potentially hazardous foods do not have any indication of which date food was prepared or shall be consumed/discarded; corrected immediately)  ",605,25
103940,2018/01/11 05:00:00+00,1350734,FOOD SERVICE,ROOF TOP GRILL,414,W OAK ST,LOUISVILLE,KY,40203,REGULAR,82,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,"In use food (ice) dispensing utensil not properly stored.  Suitable dispensing utensils not being used by employees for handling food.  (all dispensing utensils should have a scoop and handle, handle must be stored out of the food product at all times)  ",605,26
103940,2018/01/11 05:00:00+00,1350734,FOOD SERVICE,ROOF TOP GRILL,414,W OAK ST,LOUISVILLE,KY,40203,REGULAR,82,8,"Food Protection - storage, prep, display, service, transp.",No,Food not protected during storage.  (food and food containers stored on floor)  ,605,27
103940,2018/01/11 05:00:00+00,1350734,FOOD SERVICE,ROOF TOP GRILL,414,W OAK ST,LOUISVILLE,KY,40203,REGULAR,82,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,"Food contact surfaces are not smooth and easily cleanable.  (exposed wood may not be used as a food contact surface, all surfaces should be hard, smooth, and easily cleanable, tables that hold microwaves in the back of kitchen)  ",605,28
103940,2018/01/11 05:00:00+00,1350734,FOOD SERVICE,ROOF TOP GRILL,414,W OAK ST,LOUISVILLE,KY,40203,REGULAR,82,18,"Wiping cloths clean, use restricted",No,"Cloths in use not stored in sanitizer solution.  Dry wiping cloths saturated with food residues  (all in use wiping cloths should be stored in sanitizer solution during periods of non-use, all soiled dry towels should be disposed/laundered promptly)  ",605,29
103940,2018/01/11 05:00:00+00,1350734,FOOD SERVICE,ROOF TOP GRILL,414,W OAK ST,LOUISVILLE,KY,40203,REGULAR,82,19,Food/Non-food contact surfaces of equip/utensils clean,No,Unclean cavities and door seals of microwave ovens.  (debris/aoilage in microwave)    Non-food contact surfaces have accumulation of soil.  (accumulation of soil on some non-food contact surfaces)  ,605,30
103940,2018/01/11 05:00:00+00,1350734,FOOD SERVICE,ROOF TOP GRILL,414,W OAK ST,LOUISVILLE,KY,40203,REGULAR,82,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,"Handwashing sink is unclean.  (kitchen handsink dirty)    Individual disposable towels, a continuous towel system and/or or hand drying device not provided at lavatory or handsink.  (no paper towels for restroom in back of house)    Handwashing sink is not accessible.  (handsink near mop sink is blocked by items and has soiled towels stored in it during time of inspection)  ",605,31
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,Grade ``A`` dairy out of date. (7 gallons of milk - discarded)  ,605,32
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (hamburger patties - discarded)  ,605,33
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,Dispensing food with a bowl or other container without a handle. (cinnamon sugar)  ,605,34
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Hands not washed properly.  ,605,35
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,Absorbent material being used to cover food. (towel covering buns)  ,605,36
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,16,"Dishwashing facilities, designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge",No,"Pressure gauge of final rinse on a hot water sanitizing dish machine missing, not working, etc.  ",605,37
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,18,"Wiping cloths clean, use restricted",No,Cloths in use not stored in sanitizer solution.  Storing of chemical sanitizing solution containers on floor.  ,605,38
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,19,Food/Non-food contact surfaces of equip/utensils clean,No,Non-food contact surfaces have accumulation of soil.  ,605,39
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,20,"Storage, handling of clean equipment/utensils/single service articles",No,Clean utensils not stored in the same direction to prevent cross-contamination.  Clean utensils stored under waste water lines.  Clean utensils not being covered or inverted.  Utensils not being air dried.  ,605,40
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,Hand cleaner not provided at lavatory or handwashing sink.  ,605,41
88819,2018/05/16 04:00:00+00,1380006,FOOD SERVICE,BARRET BAR,1012,BARRET AVE,LOUISVILLE,KY,40204,REGULAR,94,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (cheese, hamburger, bacon, brisket, ham, potatoe salad - discarded)  ",605,42
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service.  Potentially hazardous food requiring refrigeration not rapidly cooled to an internal temperature of 41 degrees Fahrenheit or below.  ,605,43
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,4,Facilities to maintain product temp.,No,Lack of properly maintained refrigeration units for potentially hazardous foods.  ,605,44
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,Equipment not maintained in good repair and proper adjustment. (Reach-in cooler door in disrepair)   Cardboard used to line surfaces.  Gasket(s) in disrepair. (Slide open door reach-in cooler)   ,605,45
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,18,"Wiping cloths clean, use restricted",No,Cloths in use stored in sanitizer solution not at proper concentration  ,605,46
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,23,"Installed, maintained",No,Plumbing not maintained in good repair. (Leak at three-compartment sink) (Soap/sanitizer dispenser)   ,605,47
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,26,"Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles ",No,"Individual disposable towels, a continuous towel system and/or or hand drying device not provided at lavatory or handsink. (Dispensers out of service in multiple hand sinks) (Need new batteries)   ",605,48
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,30,"Floors constructed, drained, clean, good repair, covering installation, easily cleanable",No,Cardboard used to line floors. ,605,49
91978,2018/05/21 04:00:00+00,1381291,FOOD SERVICE,BUFFALO WILD WINGS,10206,WESTPORT RD,LOUISVILLE,KY,40241,REGULAR,83,22,SEWAGE AND WASTE DISPOSAL.,Yes,All sewage and waste water not disposed of in an approved manner. (Two drains by the fryer area are clogged and overflowing)   ,605,50
89377,2018/03/22 04:00:00+00,1366846,FOOD SERVICE,HOMETOWN CRAFT HOUSE,4041,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,86,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 135 degrees Fahrenheit or higher at all times except during necessary periods of preparation and service.  Meatballs at 117 degrees fahrenheit.,605,51
89377,2018/03/22 04:00:00+00,1366846,FOOD SERVICE,HOMETOWN CRAFT HOUSE,4041,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,86,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,"Employee eating, drinking, smoking in unauthorized area.  Personal drinks observed in food prep areas.",605,52
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,"Not clearly marked to indicate the date or day by which food shall be consumed, sold or discarded on the premises.  ",605,53
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (Cooked pasta, 57 F stored in reach in coolers)    Corrected  ",605,54
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,5,Thermometers provided and conspicuous,No,Lack of accurate thermometers in all refrigeration and freezing units storing potentially hazardous foods.  ,605,55
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,Suitable dispensing utensils not being used by employees for handling food. (scoop without a handle)  ,605,56
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Bare hand contact with ready-to eat foods.    Corrected  ,605,57
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,The chlorine solution for manual/mechanical warewashing is not at the proper concentration level. (0 ppm)    Corrected,605,58
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,22,SEWAGE AND WASTE DISPOSAL.,Yes,All sewage and waste water not disposed of in an approved manner.  ,605,59
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,8,"Food Protection - storage, prep, display, service, transp.",No,Food not protected during storage. (parmesean cheese)   ,605,60
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,"ATTACHED EQUIPMENT NOT CLEAN, (exhaust)   ",605,61
98333,2017/09/26 04:00:00+00,1324849,FOOD SERVICE,FAIRDALE PIZZA,10619,W MANSLICK RD,FAIRDALE,KY,40118,REGULAR,74,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items do not bear a legible manufacturer?s label. (corrected)  Toxic items not properly stored. (stored next to and above food and food equipment) (corrected)  ,605,62
101210,2017/09/28 04:00:00+00,1330145,FOOD SERVICE,EAGLE FOOD & BEER HALL,1314,BARDSTOWN RD,LOUISVILLE,KY,40204,REGULAR,84,23,"Installed, maintained",No,LEAK AT 3-COMPARTMENT SINK WARE WASH HAND SINK NOT FUNCTIONAL,605,63
98333,2017/09/26 04:00:00+00,1324849,FOOD SERVICE,FAIRDALE PIZZA,10619,W MANSLICK RD,FAIRDALE,KY,40118,REGULAR,74,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Improper storage of employee food/drink(s). (employee beverage stored inside of reach-in freezer)  Employee personal drinks do not have a lid and straw.  Hands not washed to prevent contamination from previous task. (employee observed handling produce after handling raw chicken without washing hands or changing gloves)  ,605,64
76927,2017/12/06 05:00:00+00,1342441,FOOD SERVICE,JIMMY JOHN'S,3901,DUTCHMANS LN,LOUISVILLE,KY,40207,REGULAR,88,21,"WATER SOURCE, SAFE, HOT & COLD",Yes,The hot water generation distribution system is not sufficient to meet the peak hot water demands.  ,605,65
81490,2017/10/06 04:00:00+00,1326949,FOOD SERVICE,SAKE BLUE JAPANESE BISTRO,9326,CEDAR CENTER WAY,LOUISVILLE,KY,40291,REGULAR,87,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (All food disposed of into dumpster)  ,605,66
101210,2017/09/28 04:00:00+00,1330145,FOOD SERVICE,EAGLE FOOD & BEER HALL,1314,BARDSTOWN RD,LOUISVILLE,KY,40204,REGULAR,84,30,"Floors constructed, drained, clean, good repair, covering installation, easily cleanable",No,FLOOR NOT DRAINED IN WARE WASH ROOM,605,67
98333,2017/09/26 04:00:00+00,1324849,FOOD SERVICE,FAIRDALE PIZZA,10619,W MANSLICK RD,FAIRDALE,KY,40118,REGULAR,74,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,Gasket(s) in disrepair.  ,605,68
34318,2018/04/16 04:00:00+00,1372786,FOOD SERVICE,DOMINO'S PIZZA #1422,3951,TAYLORSVILLE RD,LOUISVILLE,KY,40220,REGULAR,86,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,SAW BARE HAND CONTACTED WITH READY TO EAT FOOD. (COOKED PHILLY CHEESE STEAK) CORRECED BARRIER NOT USED TO TURN OFF FAUCET AFTER HAND WASHING CORRECTED,605,69
32829,2017/10/31 04:00:00+00,1333350,FOOD SERVICE,JOHN O'BRYAN'S,4123,FLINTLOCK DR,LOUISVILLE,KY,40216,REGULAR,81,8,"Food Protection - storage, prep, display, service, transp.",No,Food not protected during preparation.  The fish in the plastic bin.  ,605,70
98333,2017/09/26 04:00:00+00,1324849,FOOD SERVICE,FAIRDALE PIZZA,10619,W MANSLICK RD,FAIRDALE,KY,40118,REGULAR,74,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,"Unwholesome spoiled fruits, vegetables or other foods. (salami dated 9/17/17) (spoiled salami and ham products) (discarded)  Not clearly marked to indicate the date or day by which food shall be consumed, sold or discarded on the premises. (sliced ham)  Canned food products observed which indicate swelling, leaking, rusting or severe dents.  ",605,71
81490,2017/10/06 04:00:00+00,1326949,FOOD SERVICE,SAKE BLUE JAPANESE BISTRO,9326,CEDAR CENTER WAY,LOUISVILLE,KY,40291,REGULAR,87,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,The chlorine solution for mechanical warewashing is not at the proper concentration level.  ,605,72
101210,2017/09/28 04:00:00+00,1330145,FOOD SERVICE,EAGLE FOOD & BEER HALL,1314,BARDSTOWN RD,LOUISVILLE,KY,40204,REGULAR,84,31,"Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required",No,WALLS NOT CLEAN IN WARE WASH ROOM,605,73
32829,2017/10/31 04:00:00+00,1333350,FOOD SERVICE,JOHN O'BRYAN'S,4123,FLINTLOCK DR,LOUISVILLE,KY,40216,REGULAR,81,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,Equipment not maintained in good repair and proper adjustment.  Freezers need to be defrosted.  ,605,74
88054,2018/04/13 04:00:00+00,1371664,FOOD SERVICE,DAIRY QUEEN,5608,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,76,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,Food contact surfaces not clean and sanitized. (egg utensil)  Cake rings rinsed without washing or sanitizing.  ,605,75
88164,2017/11/20 05:00:00+00,1338526,FOOD SERVICE,DRAKE'S,3939,SHELBYVILLE RD,LOUISVILLE,KY,40207,REGULAR,88,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,"The chlorine solution for manual/mechanical warewashing is not at the proper concentration level. (0ppm)    Note: Facility is to set up three compartment sink to wash, rinse, and sanitize all equipment and dishware until the mechanical dishwasher can reach and mantain an free chlorine level between 50-100ppm.  ",605,76
88164,2017/11/20 05:00:00+00,1338526,FOOD SERVICE,DRAKE'S,3939,SHELBYVILLE RD,LOUISVILLE,KY,40207,REGULAR,88,28,"INSECTS/RODENTS-NO BIRDS, TURTLES, OTHER ANIMALS",Yes,Presence of insects.  ,605,77
31827,2017/11/06 05:00:00+00,1334844,SCHOOL CAFETERIA OR FOOD SERVICE,ST. BERNARD SCHOOL,7501,TANGELO DR,LOUISVILLE,KY,40228,REGULAR,95,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,The chlorine solution for manual/mechanical warewashing is not at the proper concentration level.  ,605,78
33513,2017/09/25 04:00:00+00,1323371,FOOD SERVICE,LITTLE CAESARS,6714,OUTER LOOP,LOUISVILLE,KY,40228,REGULAR,79,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 135 degrees Fahrenheit or higher at all times except during necessary periods of preparation and service. (cheddar cheese sauce holding at room tempterature) (discarded)  ,605,79
